ID,cosecha,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Columna1,Columna2,Columna3
58,2000,7.4,0.7,0,1.9,0.076,100,34,0.9978,3.51,0.56,9.4,NA,,,
59,2000,7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,,,,
60,2000,7.8,0.76,NA,2.3,0.092,15,54,0.997,3.26,0.65,9.8,D,,,
61,2000,11.2,0.28,NA,1.9,0.075,17,60,0.998,3.16,0.58,9.8,C,,,
62,2000,7.4,0.7,NA,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,D,,,
63,2000,7.4,0.66,NA,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,D,,,
64,2000,7.9,0.6,NA,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,D,,,
65,2000,7.3,0.65,NA,1.2,0.065,15,21,0.9946,3.39,0.47,10,B,,,
66,2000,7.8,0.58,NA,2,0.073,9,18,0.9968,3.36,0.57,9.5,B,,,
67,2000,7.5,0.5,NA,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,D,,,
68,2000,6.7,0.58,NA,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,D,,,
69,2000,7.5,0.5,NA,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,D,,,
70,2000,5.6,0.615,NA,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,D,,,
71,2000,7.8,0.61,NA,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,D,,,
72,2000,8.9,0.62,NA,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,D,,,
73,2000,8.9,0.62,NA,3.9,0.17,51,148,0.9986,3.17,0.93,9.2,D,,,
74,2000,8.5,0.28,NA,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,B,,,
75,2000,8.1,0.56,NA,NA,0.368,16,56,0.9968,3.11,1.28,9.3,D,,,
76,2000,7.4,0.59,NA,4.4,0.086,6,29,0.9974,3.38,0.5,9,E,,,
77,2000,7.9,0.32,NA,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,C,,,
78,2000,8.9,0.22,NA,1.8,0.077,29,60,0.9968,3.39,NA,9.4,NA,,,
79,2000,7.6,0.39,NA,2.3,0.082,23,71,0.9982,3.52,NA,9.7,NA,,,
75,2000,8.1,0.56,NA,NA,0.368,16,56,0.9968,3.11,1.28,9.3,D,,,
80,2000,7.9,0.43,NA,1.6,0.106,10,37,0.9966,3.17,NA,9.5,NA,,,
81,2000,8.5,0.49,NA,2.3,0.084,9,67,0.9968,3.17,NA,9.4,D,,,
82,2000,6.9,0.4,NA,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,C,,,
83,2000,6.3,0.39,NA,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,D,,,
84,2000,7.6,0.41,NA,1.8,0.08,4,11,0.9962,3.28,0.59,9.5,D,,,
85,2000,7.9,0.43,NA,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,D,,,
86,2000,7.1,0.71,NA,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,D,,,
215,2010,7.8,0.645,NA,2,0.082,8,16,0.9964,3.38,0.59,9.8,C,,,
216,2010,6.7,0.675,NA,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,D,,,
217,2010,6.9,0.685,NA,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,C,,,
218,2010,8.3,0.655,NA,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,D,,,
219,2010,6.9,0.605,NA,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,C,,,
220,2010,5.2,0.32,NA,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,D,,,
221,2010,7.8,0.645,NA,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,C,,,
222,2010,7.8,0.6,NA,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,C,,,
223,2010,8.1,0.38,NA,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,B,,,
224,2010,5.7,1.13,NA,1.5,0.172,7,19,0.994,3.5,0.48,9.8,E,,,
225,2010,7.3,0.45,NA,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,D,,,
226,2010,7.3,0.45,NA,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,D,,,
227,2010,8.8,0.61,NA,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,E,,,
228,2010,7.5,0.49,NA,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,C,,,
229,2010,8.1,0.66,NA,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,D,,,
230,2010,6.8,0.67,NA,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,D,,,
231,2010,4.6,0.52,NA,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,E,,,
227,2010,8.8,0.61,NA,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,E,,,
232,2010,7.7,0.935,NA,2.2,0.114,22,114,0.997,3.25,0.73,9.2,D,,,
233,2010,8.7,0.29,NA,1.6,0.113,12,37,0.9969,3.25,0.58,9.5,D,,,
234,2010,6.4,0.4,NA,1.6,0.066,5,12,0.9958,3.34,0.56,9.2,D,,,
235,2010,5.6,0.31,NA,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,D,,,
236,2010,8.8,0.66,NA,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,D,,,
237,2010,6.6,0.52,NA,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,C,,,
